Round,Circuit,Rider,Best_Lap,Final_Lap,First_Lap,Avg_Lap,ISD,Lap_of_Best,Laps_After_Best,Degrade_Rate,Consistency,Warm_Up_Time,Total_Laps,Session_Type
1,QAT,Aleix,112.319,112.319,113.17,114.48,0.0,33,-30,0.0,3.443,0.851,4,qualifying
1,QAT,Alex,111.653,111.653,731.274,421.464,0.0,13,-12,0.0,438.139,619.622,2,qualifying
1,QAT,Luca,112.107,112.107,121.2,116.653,0.0,1,0,0.0,6.429,9.093,2,qualifying
1,QAT,Fabio,111.943,115.492,123.538,116.991,3.549,6,-4,0.0,5.941,11.595,3,qualifying
1,QAT,Brad,113.003,123.718,113.003,118.361,10.716,34,-33,0.0,7.577,0.0,2,qualifying
1,QAT,Raul,112.177,126.814,112.771,117.721,14.637,28,-25,0.0,6.829,0.594,4,qualifying
1,QAT,Augusto,112.004,128.83,120.426,179.917,16.827,24,-20,0.0,137.746,8.422,5,qualifying
1,QAT,Johann,111.658,130.414,112.925,116.792,18.756,8,-5,0.0,9.096,1.267,4,qualifying
1,QAT,Jorge,111.591,134.64,113.4,119.877,23.05,2,0,0.0,12.817,1.81,3,qualifying
1,QAT,Francesco,111.932,145.148,165.302,148.109,33.217,18,-12,0.0,49.052,53.37,7,qualifying
2,ARG,Aleix,106.78,106.78,133.73,122.079,0.0,66,-57,0.0,31.918,26.951,10,qualifying
2,ARG,Alex,106.512,106.512,107.173,127.725,0.0,56,-53,0.0,41.881,0.661,4,qualifying
2,ARG,Franco,103.758,103.758,123.205,133.644,0.0,11,1,0.0,58.319,19.446,13,qualifying
2,ARG,Johann,106.34,106.34,143.534,125.464,0.0,41,-27,0.0,35.402,37.194,15,qualifying
2,ARG,Marco,103.955,103.955,119.901,125.45,0.0,26,-12,0.0,52.991,15.946,15,qualifying
2,ARG,Takaaki,106.49,106.49,107.42,119.468,0.0,49,-47,0.0,21.678,0.93,3,qualifying
2,ARG,Jorge,108.062,109.204,226.36,147.875,1.142,51,-49,0.0,67.972,118.298,3,qualifying
2,ARG,Luca,107.085,111.423,118.209,134.374,4.338,44,-41,0.0,44.506,11.124,4,qualifying
2,ARG,Fabio,106.877,113.736,151.526,124.047,6.859,68,-66,0.0,24.044,44.65,3,qualifying
3,AME,Alex,121.905,121.905,133.944,143.029,0.0,10,-7,0.0,31.202,12.038,4,qualifying
3,AME,Brad,122.626,122.626,183.832,144.115,0.0,27,-15,0.0,32.855,61.205,13,qualifying
3,AME,Francesco,121.769,121.77,133.245,139.804,0.0,6,0,0.0,36.799,11.475,7,qualifying
3,AME,Johann,122.915,122.915,150.526,164.188,0.0,43,-38,0.0,80.57,27.612,6,qualifying
3,AME,Luca,122.058,122.058,131.358,144.832,0.0,15,-11,0.0,42.75,9.3,5,qualifying
3,AME,Jorge,121.775,122.749,130.091,152.907,0.974,36,-28,0.0,77.136,8.316,9,qualifying
3,AME,Jack,122.864,152.093,134.632,149.39,29.23,46,-41,0.0,40.688,11.769,6,qualifying
5,FRA,Aleix,91.1,91.1,91.442,91.37,0.0,36,-34,0.0,0.243,0.342,3,qualifying
5,FRA,Alex,91.766,91.766,92.519,94.165,0.0,39,-37,0.0,3.524,0.754,3,qualifying
5,FRA,Augusto,91.177,91.177,98.212,94.232,0.0,44,-40,0.0,2.886,7.035,5,qualifying
5,FRA,Jack,90.632,90.632,91.695,93.055,0.0,9,0,0.0,2.98,1.063,10,qualifying
5,FRA,Johann,91.2,91.2,93.21,93.721,0.0,54,-46,0.0,3.753,2.01,9,qualifying
5,FRA,Luca,90.924,90.924,92.468,92.856,0.0,27,-22,0.0,3.466,1.544,6,qualifying
5,FRA,Marco,91.322,91.322,91.763,95.936,0.0,33,-27,0.0,8.149,0.441,7,qualifying
5,FRA,Jorge,90.665,111.432,156.798,99.678,20.768,19,-8,0.0,18.961,66.133,12,qualifying
6,ITA,Johann,105.48,105.48,131.238,121.692,0.0,42,-38,0.0,14.869,25.758,5,qualifying
6,ITA,Brad,105.118,105.346,137.748,111.189,0.227,22,-15,0.0,11.179,32.63,8,qualifying
6,ITA,Alex,104.86,105.743,126.657,112.545,0.883,16,-8,0.0,12.366,21.797,9,qualifying
6,ITA,Marc,104.761,112.808,132.072,114.726,8.047,9,-4,0.0,10.148,27.31,6,qualifying
6,ITA,Francesco,104.708,113.121,137.422,114.705,8.413,3,2,4.2065,12.014,32.715,6,qualifying
6,ITA,Enea,105.209,122.947,135.138,116.688,17.739,30,-19,0.0,11.605,29.93,12,qualifying
7,CAT,Fabio,99.453,99.558,160.854,127.684,0.106,58,-53,0.0,46.068,61.402,6,qualifying
7,CAT,Alex,99.245,99.456,140.182,124.622,0.211,47,-42,0.0,42.886,40.937,6,qualifying
7,CAT,Enea,98.906,99.416,109.57,104.107,0.51,52,-48,0.0,6.93,10.664,5,qualifying
7,CAT,Johann,98.601,99.272,137.584,121.38,0.671,38,-23,0.0,35.637,38.983,16,qualifying
7,CAT,Jorge,98.581,99.364,172.014,128.289,0.784,23,-10,0.0,47.075,73.433,14,qualifying
7,CAT,Brad,98.934,99.757,142.286,134.278,0.822,76,-65,0.0,69.861,43.351,12,qualifying
7,CAT,Marc,98.931,105.564,114.727,104.602,6.633,64,-61,0.0,7.414,15.796,4,qualifying
7,CAT,Francesco,98.492,113.692,149.704,124.973,15.2,9,5,3.04,42.051,51.212,15,qualifying
