Rider,Rounds,Avg_ISD,Std_ISD,Min_ISD,Max_ISD,Avg_Best_Lap,Avg_Final_Lap,Avg_Consistency,Avg_Degrade_Rate,Avg_Laps_Completed,Finishes,DNFs
Takaaki,1,0.0,,0.0,0.0,106.49,106.49,21.678,0.0,3.0,0,1
Luca,7,1.374,2.363,0.0,5.281,107.405,108.779,19.326,0.0,5.7,0,7
Alex,11,2.724,7.248,0.0,24.204,98.118,100.843,83.01,0.0,5.5,0,11
Dani,1,3.197,,3.197,3.197,87.492,90.689,14.929,0.0,15.0,0,1
Marco,7,3.853,5.426,0.0,12.302,92.345,96.197,32.25,0.8878,9.9,0,7
Johann,11,4.225,7.203,0.0,18.756,103.55,107.776,32.329,0.0,7.5,0,11
Miguel,3,4.355,6.588,0.0,11.935,91.458,95.813,3.883,0.0,3.3,0,3
Augusto,4,4.378,8.305,0.0,16.827,106.987,111.365,55.116,0.0,7.0,0,4
Fabio,9,4.867,5.869,0.106,18.192,95.582,100.449,21.272,0.0136,7.1,0,9
Enea,4,4.985,8.532,0.0,17.739,93.072,98.056,7.567,0.0,7.0,0,4
Pol,2,6.256,7.729,0.791,11.722,95.358,101.615,4.354,0.0,4.0,0,2
Jack,7,6.816,10.489,0.0,29.23,101.004,107.82,13.407,0.7889,6.4,0,7
Franco,2,7.656,10.827,0.0,15.311,120.212,127.867,50.481,0.0,9.5,0,2
Jorge,12,9.03,9.129,0.416,24.889,99.584,108.614,26.508,1.1741,8.7,0,12
Raul,2,9.236,7.638,3.835,14.637,107.909,117.144,11.954,0.0,7.0,0,2
Francesco,8,10.571,10.855,0.0,33.217,104.248,114.819,34.843,0.9058,8.0,0,8
Brad,12,15.301,31.955,0.0,112.895,100.606,115.907,27.342,0.0,9.2,0,12
Aleix,10,17.564,39.177,0.0,127.748,99.273,116.837,12.636,0.0,6.0,0,10
Marc,7,23.933,45.341,0.0,126.274,94.9,118.833,22.623,0.0,6.6,0,7
