Round,Circuit,Rider,Best_Lap,Final_Lap,First_Lap,Avg_Lap,ISD,Lap_of_Best,Laps_After_Best,Degrade_Rate,Consistency,Warm_Up_Time,Total_Laps,Session_Type
1,QAT,Alex,112.856,112.856,116.209,113.621,0.0,110,-89,0.0,0.725,3.353,22,race
1,QAT,Fabio,112.79,112.834,116.009,113.509,0.045,3,2,0.0225,1.242,3.219,6,race
1,QAT,Francesco,112.856,113.562,115.64,113.517,0.706,34,-1,0.0,0.84,2.784,34,race
1,QAT,Jack,113.277,114.158,118.157,113.946,0.882,119,-98,0.0,0.972,4.88,22,race
1,QAT,Joan,113.707,114.59,119.32,114.453,0.883,179,-158,0.0,1.141,5.613,22,race
1,QAT,Raul,113.489,114.54,118.892,114.429,1.05,201,-180,0.0,1.064,5.403,22,race
1,QAT,Marco,113.544,114.959,117.56,114.232,1.415,158,-137,0.0,0.827,4.016,22,race
1,QAT,Brad,112.938,114.387,116.489,113.752,1.45,72,-51,0.0,0.846,3.552,22,race
1,QAT,Luca,112.908,114.65,115.92,113.449,1.742,6,20,0.0871,0.61,3.012,27,race
1,QAT,Jorge,113.001,116.506,117.173,114.236,3.505,137,-116,0.0,0.982,4.172,22,race
1,QAT,Pol,113.325,120.33,119.101,115.911,7.005,225,-220,0.0,3.032,5.776,6,race
2,ARG,Aleix,108.07,108.134,110.152,108.634,0.064,227,-223,0.0,0.865,2.082,5,race
2,ARG,Jorge,106.769,107.012,111.563,107.91,0.243,71,-67,0.0,2.047,4.794,5,race
2,ARG,Franco,106.782,107.168,109.614,107.62,0.385,45,-41,0.0,1.14,2.832,5,race
2,ARG,Luca,107.129,107.671,111.42,108.236,0.542,105,-101,0.0,1.794,4.291,5,race
2,ARG,Marco,104.995,105.954,107.792,105.676,0.959,5,6,0.1598,0.731,2.797,12,race
2,ARG,Fabio,106.026,107.467,106.185,106.688,1.44,88,-41,0.0,0.442,0.159,48,race
2,ARG,Takaaki,105.981,107.892,111.408,107.245,1.911,141,-98,0.0,1.1,5.427,44,race
2,ARG,Johann,105.797,108.118,110.305,106.907,2.32,38,-27,0.0,1.277,4.508,12,race
2,ARG,Francesco,105.333,108.071,108.889,106.543,2.738,260,-249,0.0,1.25,3.556,12,race
2,ARG,Raul,106.082,108.908,112.834,107.316,2.826,197,-154,0.0,1.12,6.752,44,race
2,ARG,Jack,105.761,108.651,105.761,106.79,2.89,50,-30,0.0,0.83,0.0,21,race
2,ARG,Alex,105.305,108.672,108.532,106.906,3.367,24,5,0.6734,1.355,3.227,30,race
2,ARG,Brad,106.314,109.962,106.314,107.937,3.648,232,-212,0.0,1.229,0.0,21,race
3,AME,Alex,122.859,122.858,124.599,123.729,0.0,1,0,0.0,1.231,1.74,2,race
3,AME,Marco,123.186,123.2,126.183,123.677,0.013,94,-83,0.0,0.821,2.996,12,race
3,AME,Brad,123.374,123.53,126.971,124.208,0.156,178,-172,0.0,1.247,3.597,7,race
3,AME,Johann,124.132,124.378,124.132,124.255,0.246,64,-63,0.0,0.174,0.0,2,race
3,AME,Luca,122.86,123.226,125.873,123.554,0.366,39,-9,0.0,0.913,3.013,31,race
