Rider,Rounds,Avg_ISD,Std_ISD,Min_ISD,Max_ISD,Avg_Best_Lap,Avg_Final_Lap,Avg_Consistency,Avg_Degrade_Rate,Avg_Laps_Completed,Finishes,DNFs
Iker,3,0.817,0.944,0.0,1.85,101.772,102.589,3.026,0.0,6.7,0,3
Jack,12,0.981,0.815,0.0,2.89,99.99,100.971,1.04,0.0,16.9,5,7
Dani,1,1.195,,1.195,1.195,91.7,92.894,1.573,0.0,13.0,0,1
Luca,13,1.294,0.959,0.0,2.906,98.613,99.907,0.856,0.0067,19.9,6,7
Johann,13,1.341,0.789,0.0,2.697,99.352,100.693,1.659,0.0836,19.8,5,8
Francesco,14,1.445,1.704,0.0,6.558,99.712,101.156,1.334,0.0358,13.1,1,13
Alex,13,1.465,0.985,0.0,3.367,97.284,98.749,1.07,0.0518,21.9,8,5
Aleix,13,1.532,1.572,0.0,5.548,97.43,98.961,1.335,0.0031,16.5,3,10
Miguel,8,1.544,0.786,0.507,2.628,99.482,101.026,1.23,0.0,21.5,4,4
Jonas,4,1.559,1.306,0.105,3.27,93.649,95.208,2.557,0.0,16.8,1,3
Danilo,1,1.624,,1.624,1.624,92.798,94.422,0.615,0.0,12.0,0,1
Augusto,10,1.731,1.266,0.646,4.248,94.995,96.726,1.037,0.0,23.0,5,5
Jorge,14,1.757,1.77,0.236,6.051,98.15,99.907,1.562,0.0825,14.9,3,11
Takaaki,10,1.905,1.187,0.02,3.792,92.802,94.707,1.154,0.0,25.2,7,3
Lorenzo,5,1.959,0.694,1.121,2.761,95.0,96.959,0.99,0.0,15.4,1,4
Franco,13,1.966,2.935,0.0,11.392,98.336,100.302,1.818,0.0,14.0,4,9
Brad,14,2.091,1.562,0.156,5.638,99.711,101.802,5.479,0.005,15.9,3,11
Marc,7,2.233,2.363,0.0,5.491,93.711,95.943,1.717,0.0,13.4,2,5
Joan,9,2.258,2.341,0.358,7.017,101.574,103.832,7.091,0.0,13.2,3,6
Stefan,3,2.708,3.312,0.068,6.424,100.116,102.823,2.031,0.0,15.3,2,1
Marco,12,2.741,4.152,0.013,15.274,100.155,102.896,1.974,0.0254,15.2,2,10
Michele,2,2.812,3.255,0.51,5.113,103.422,106.233,2.456,0.0,15.5,1,1
Fabio,15,3.143,3.099,0.0,11.767,100.021,103.164,2.056,0.0741,30.8,10,5
Raul,13,3.991,7.597,0.231,28.935,100.842,104.833,2.43,0.0,17.7,4,9
Enea,7,6.303,12.626,0.412,34.796,93.699,100.002,4.017,0.0,18.3,3,4
Pol,6,9.178,11.699,0.233,30.78,98.802,107.98,4.393,0.0,14.3,2,4
