Rider,Rounds,Avg_QRD,Std_QRD,Min_QRD,Max_QRD,Avg_Qual_Time,Avg_Race_Time,Finishes,DNFs
Pol,2,-6.73,7.009,-11.686,-1.774,95.554,102.285,1,1
Dani,1,-4.478,,-4.478,-4.478,87.688,92.166,0,1
Marc,4,-3.128,4.073,-9.236,-0.973,93.568,96.696,0,4
Fabio,10,-2.177,4.025,-13.156,0.896,94.997,97.174,7,3
Enea,2,-1.53,2.208,-3.091,0.032,84.232,85.762,1,1
Miguel,3,-1.207,2.276,-3.758,0.617,91.646,92.853,1,2
Brad,11,-0.862,7.889,-18.517,16.469,100.366,101.227,2,9
Alex,11,-0.858,0.984,-1.837,0.893,98.268,99.125,4,7
Jack,7,-0.62,6.575,-8.248,13.218,101.186,101.805,0,7
Johann,9,-0.464,7.466,-13.17,16.21,103.336,103.8,3,6
Aleix,9,-0.275,7.104,-11.034,16.509,97.982,98.257,2,7
Takaaki,1,0.068,,0.068,0.068,106.588,106.52,1,0
Jorge,11,0.427,4.914,-2.505,14.79,97.729,97.302,3,8
Francesco,7,1.332,6.005,-1.952,14.492,105.242,103.91,1,6
Marco,8,1.405,11.497,-11.242,28.378,99.554,98.149,1,7
Luca,7,2.003,8.192,-1.598,20.539,107.569,105.567,4,3
Augusto,3,3.195,7.564,-1.449,11.924,105.445,102.25,1,2
Franco,2,6.441,13.386,-3.024,15.906,120.383,113.942,0,2
Raul,4,8.776,29.074,-14.399,51.32,112.51,103.734,1,3
